TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Reporting Fellow,ProPublica Illinois,"$39,000 ",Cis POC female,4.5,Chicago,"Reporting, including data (Fellowships typically last 1 year)","Experience includes internships/fellowships. Previously producer/reporter at WBEZ ($56,000, started at $52K), includes raises+unionized"
Retired,PSS,55000 ($AU),Male,40,Canberra - Australia,None,APS L6
Reporter,Public broadcasting,"Equivalent to $56,000 USD, before taxes",Male/white,6,Norway,"Writing articles, producing radio, TV reports.",
beat reporter,public broadcasting affiliate,"62,000",cis white woman,4,Pacific Northwest,"Produce videos, associate produce videos, produce radio pieces, features, spots, web stories, do social media","Beat reporter (hired at) - 57,500
Beat reporter (raise, 2018) - 59,000
Beat reporter (different publication, DC-based) - 57,700
Intern - $13/hour"
Media + Photo Teacher ,Public High School,"90,000",Cis white female,14,Ohio,Teach digital media and photography to teenagers,Freelance photographer for national publications 
Executive Editor,public radio,"88,000",cis female,18,St. Louis,"Set vision/mission for newsroom, oversee coverage, maintain journalistic integrity/quality for coverage.",
Multimedia Storyteller,Public school division,"90,000",white/female,20,"Washington, DC","concept development/video, photo, audio story production",Multimedia producer $65k
Advisor,Public Service,30000,Male,5,México,"Advisor in political journalism, media and press lobbying",Non
Public information specialist ,Public transit,"75,000",,20,Northwest,"Corporate communications, internal/external newsletters, press releases, events",
Project manager,Public University,"$85,400 gross",CIS het white female,40,Pennsylvania,Write news and features for internal print and digital publications; research and write white papers on institutional research achievements to advocate for renewed funding from state and congressional level resources; write speeches and remarks for high-level faculty and administrators; coordinate and edit grant-related reporting to funding agencies; manage social media promotion of university research; planning and execution of special events  ,"Journalist at daily news outlets of varying size in three states, range from $20,000 to $41,000; media relations for a large midwest health care system, starting salary of $35,000"
Reviews Editor,Publishers Weekly,"$43,000 ",white cis-male,7,NYC,Ran three different subject categories; Managed ~50 freelance writers; Wrote special features and produced interviews,started at the company running the shipping/receiving room for $35k
Staff Photographer,Pueblo Chieftain (Gatehouse Media),"$15.1/hr, ($31,500/yr)",Male / white,8,"Pueblo, Colorado",Shoot and edit assignments. Arrange long term stories. Advocate for visual department in the newsroom.,"$28,000/yr, $25,000/yr"
associate producer ,Pushkin,"67,000 (+ approx 20% bonus )",cis white female,5,NYC,,
Reporter,Quartz,"$64,250 ",cis white woman,~4 years,NYC,writing short hits and longer features,2% raise after six months at Quartz
Reporter,Quartz,"$79,000 ",cis-het white male,10 years,California ,"Reporting, writing, the usual.",varied
Reporter,Quartz,"$62,000 ",cis white male,5,New York,"Reporting, writing",
Reporter,Quartz,"$86,000 ",cis white woman,8,NY,reporting,8 yrs FT
Deputy news editor,Quartz,"$90,000 ",male,15,new york,"supervise 5 reporters, edit copy",
Reporter,Quartz,"85,000",White female straight,10,New York,,
Head of SMM,RAA ,$210 000 + $10 000 for my identity ,Transgender biosexual ,7,Idaho,"
",
Radio Morning Personality,Radio,"82,000",Cis/White/Female,12,San Francisco,Gather interesting and local stories to package in an entertaining way to SF commuters,
Producer/Editor,Red Bull Media House,"75,000",CIS White Female,10,Los Angeles,"Story production, interviewing, budgeting, identifying storylines, editing, etc","Culture Editor/65,000, Deputy Editor/36,000"
Markets reporter/editor,Reed Business Information (B2B publication),"78,000",Cis white female,5,,,
"Editor, Snapchat",Refinery29,"65,000 (full time freelance)",Cis white woman,3,NYC,"Writing copywriting, editing, copy editing, producing and editing video for Snapchat","Editorial Assistant, Snapchat at R29 (got a raise and promo through counteroffer)"
Senior Editor,Refinery29,"61,000","female, biracial",6,"New York, NY",,
Staff writer,Refinery29,"$60,000 ",cis white female,1.5,"New York, New York","writing news stories & features, researching",previously a freelance news writer ($15/hour)
Staff writer,Refinery29,"$63,000 ","Cis, white",5,New York,Write and pitch mostly search-driven stories ,"$52,000 - news writer"
Staff Writer,Refinery29,"58,500",cis white woman,6,New York,Write both shortform & longform pieces,
Senior Editor,Refinery29,"92,000",cis white female,8,LA,,
Editorial Director ,Refinery29,"$190,000 ",F/W,,New York,,
editorial assistant,refinery29,"$45,000 ",cis black woman,1,nyc,"building articles, writing SEO posts, 1-2 news blogs a day, 2-4 interviews a month",
Staff Writer,Refinery29,"60,000",Hispanic,4,New York City,"writing a mix of short news hits, features, service pieces, around 2 stories a day.",
Editorial Assistant,Refinery29,"$50,700 ",queer woman/white,2,NY,"edit daily column, 1-2 news stories/day, 1-2 longer stories/month","freelance writer 3 years, FT writer 1 year "
Senior Editor,Refinery29,"77,000",cis white female,8,NYC,"assign and edit news and features (4-8 stories per day), write 2-4 features per month, run editorial packages, manage staff writers, attend relevant industry events, and much, much more",started as a staff writer making $50k
Marketing Solutions Strategist,Refinery29,60500,Female / White ,2,New York City,Answer pre-sale RFPs,50000
Staff Reporter,Regional Business Journal in Southern California,"36,000",cis white male,2,Southern California,"Short daily news articles for website, 4-5 articles of 800-1200 words for biweekly print paper","Intern, then briefly contributing writer at niche tech magazine in Washington D.C., $10/hr"
Political reporter,regional magazine,$500 a month,Cis male/white,2,Upstate NY,reporting on congressional politics,Unpaid Intern 
Reporter,Regional magazine,"$61,700 ",cis white woman,2,North Carolina,"Reporting, including longform features and shorter pieces, investigative projects social media","$30k--editorial fellow at The Atlantic, bumped to $35k "
Editor in Chief,Regional magazine,"$54,000 ",cis female,28,New England ,Everything,
Managing Editor of in-house creative studio,Regional magazine,"$50,000 ",Cis queer white woman,5,Mid-Atlantic,"Manage/edit and occasionally write all sponsor content, develop and manage custom campaigns and publications for clients","Associate editor at nonprofit newsroom, $34,000. Assistant editor at same company, $30,000. "
Manager of Audience Development,Regional Newspaper,"$95,000 ",Male,9,East Coast,,
Reporter,Report for America,"$35,500 ",Female/White,4,Mountain West,Produce 3-4 local news stories a week.,45k--Producer at NPR affiliate 
Reporter,Report for America,"$40,000 ",cis white female,3.5,California,"Beat reporting (dailies and enterprise), working in a class","Started at $12.50 as a local reporter in 2016, got a $2 raise in 2018"
Middleweight Motion Designer,Retail Design Agency,"£35,000",White Queer NB,5,London,"Storyboarding, Moodboarding, Creating visualisations and mock ups for store digital pieces, video editing and motion work.","Junior Motion Designer - £27,000. Video Producer - £24,000"
News Publishing Specialist,Reuters,"$9,912 per annum",Indian female,5,"Bengaluru, Karnataka, India","Write Canada pre-opener market report, make newsletters for India, EMEA and U.S., Canada. Curate Reuters top news pages for the Eikon app. ",Senior-subeditor
Correspondent,Reuters,"48,000",Cis-female/white,10,Remote,Reporting,"52,000 Assistant Editor / 34,000 Reporter "
Senior Correspondent,Reuters,"$130,000 ",Male / Asian,5,Latin America,Investigations,Freelance
Reporter,Reuters,"$84,800 ",WOC,4,NYC,beat reporter,60K at first reporting job out of college
Producer,Reuters,"90,000",Female/Black,10,New York,,
Reporter,Reuters,"78,000",Female,4,NYC,Beat reporting,"Previously staff writer at trade magazine at $55k, before that was an editorial assistant at $32k"
Editorial Intern,Reuters,$22 hourly ,Male POC LGBT,2,US,,
Senior correspondent,Reuters,"105,000",White male,9,Americas,,
Journalist,Reuters,"$93,000 ",white cis woman ,6,NY,,
Staff photographer,Reuters ,105000,Male/Caucasian ,20,New York City ,Create visuals ,
Senior Staff Writer,Reviewed,"$45,450 ",Poc Cis Male,7+ years,Boston,Product reviews and photography,
Senior Staff Writer,Reviewed,"$49,000 ",,5+ years,Boston,"testing, writing, editing",
Senior Writer,Reviewed,42.5k,white cis male ,8,Cambridge,,"Managing Editor / Project Manager — 62.5k
Left the industry for a few years to pursue a different career, but returned."
Editor,Ringier Africa Digital Media,"$10,000 ","CIS male, African",5,Nairobi,"Reporting, Editing, Interviewing",
News Editor,Rio Grande SUN,"37,000",White,4,"Española, New Mexico","Reporting, editing and paginating news stories and features. Managing a team of six reporters",
News Editor,Rio Grande SUN,"37,000",Cishet white male,4,"Española, New Mexico","Reporting, editing and paginating news stories and features. Managing a team of six reporters",
Afternoon Show Host,Rogers Communications ,"$50,000 (CAD)",Male / White,12,British Columbia ,"Producing content for daily broadcast, scheduling music, making public appearances ",
Assistant Editor,Rolling Stone,"$60,500/year","Woman, Latina",8,"New York, NY",Editing daily news and features. Writing no less than 20 articles a month. Interviewing in English and Spanish. Translating. Transcribing.,"Web Producer - $43,000/year"
News Director,rural public radio station,"$40,000 ",European-American male,16,Texas,,
Senior Reporter,S&P,"49,000",Male,10,Canada,"Features, daily","45,000"
Account Executive,Saatchi & Saatchi,"55,000",Female / Hispanic,4,Dallas ,,
Associate Editor,Sagacity Media,"$40,000 ",Cis white male,3,Houston,"-edit/contribute 8 blogs per week
-report FOB section
-longform
-edit/contribute to cover packages/service features
-breaking news as needed",n/a (first job)
Staff writer,Salt Lake Tribune,"$39,500 ",cis-homo white female,4 years,Utah,Crime/criminal justice reporting/breaking news,"Reporter at Tulsa World newspaper - $34,000"
Reporter,Salt Lake Tribune,"$49,000 ",,10 years,Utah,"Covering legal affairs, criminal justice, etc",
Engagement manager,Salt Lake Tribune,"$42,000 ","White, cis female",3,"Salt Lake City, Utah","Help manage social media accounts and website; optimizes stories for web; builds and sends newsletters; gathers/analyzes site traffic and reader habits, sends push alerts; helps with audience outreach efforts","Web manager, web producer "
Sports Reporter,Salt Lake Tribune,"39,000",Male/Hispanic,4.5,Salt Lake City,"Cover professional soccer and prep sports, and also college sports and NBA when needed",
Web Manager,Salt Lake Tribune,"$39,000 ","Female, white",7,Salt Lake City,"Web platform curation, social media, comment moderation","Editor: 30,000, Reporter: 22,800"
Reporter,Salt Lake Tribune,"36,000",cis white male,5,Utah,News and feature writing ,"39,000 as online editor for medium-sized national magazine "
